RRi,RRii,RRi_interp,RRii_interp,freqs,periodogram,low_power,high_power,activitytype_daytime,activitytype,activitytype_interp,activitytype_daytime_interp,steps_daytime,steps,steps_interp,steps_daytime_interp,hr_daytime,hr,hr_interp,hr_daytime_interp,rMSSD,pNN50,Median,gt180,act_silent_percentage,act_walking_percentage,act_running_percentage,act_nonWear_percentage,act_REM_percentage,act_NREM_percentage,act_charging_percentage,act_undefined_percentage,act_silent_percentage_allday,act_walking_percentage_allday,act_running_percentage_allday,act_nonWear_percentage_allday,act_REM_percentage_allday,act_NREM_percentage_allday,act_charging_percentage_allday,act_undefined_percentage_allday
79,77.08333333,79,79,0.01,4441.012781,2397.535137,2855.794416,16.01138889,0,0,16.01138889,16.01138889,0,0,16.01138889,24.83871944,79,79,16.01138889,640.1716532,0.573090345,73,0,77.08333333,20.41666667,0,0,0,0,0,2.5,56.78022712,12.09084836,0,3.80761523,2.939211757,22.11088844,0,2.271209085
77.08333333,74.63636364,79,79,0.010049005,4448.639839,,,16.02805556,0,0,16.02805556,16.02805556,0,0,16.02805556,24.839685,77.08333333,79,16.02805556,492.3682342,0.45578635,77,0,75.83333333,19.44444444,0,0,0,0,0,4.722222222,,,,,,,,
74.63636364,76.4,79,79,0.01009801,4456.312152,,,16.04472222,0,0,16.04472222,16.04472222,0,0,16.04472222,24.83969472,74.63636364,79,16.04472222,495.5036663,0.486187845,74,0,31.50684932,1.97869102,0,8.675799087,6.697108067,50.3805175,0,0.761035008,,,,,,,,
76.4,78.11111111,79,79,0.010147015,4464.029833,,,16.06138889,0,0,16.06138889,16.06138889,0,0,16.06138889,24.83970222,76.4,79,16.06138889,,,,,,,,,,,,,,,,,,,,
78.11111111,80.66666667,79,79,0.01019602,4471.792992,,,16.07805556,0,0,16.07805556,16.07805556,0,0,16.07805556,24.83984194,78.11111111,79,16.07805556,,,,,,,,,,,,,,,,,,,,
80.66666667,82.77777778,79,79,0.010245025,4479.60174,,,16.09472222,0,0,16.09472222,16.09472222,0,0,16.09472222,24.84012583,80.66666667,79,16.09472222,,,,,,,,,,,,,,,,,,,,
82.77777778,84.11111111,79,79,0.010294029,4487.456191,,,16.11138889,0,0,16.11138889,16.11138889,0,0,16.11138889,24.84042389,82.77777778,79,16.11138889,,,,,,,,,,,,,,,,,,,,
84.11111111,84,79,79,0.010343034,4495.356456,,,16.12805556,0,0,16.12805556,16.12805556,0,0,16.12805556,24.84070833,84.11111111,79,16.12805556,,,,,,,,,,,,,,,,,,,,
84,87,79,79,0.010392039,4503.302648,,,16.14472222,0,0,16.14472222,16.14472222,0,0,16.14472222,24.84096556,84,79,16.14472222,,,,,,,,,,,,,,,,,,,,
87,88,79,79,0.010441044,4511.294881,,,16.16138889,0,0,16.16138889,16.16138889,0,0,16.16138889,24.84125,87,79,16.16138889,,,,,,,,,,,,,,,,,,,,
88,89,79,79,0.010490049,4519.333268,,,16.17805556,0,0,16.17805556,16.17805556,0,0,16.17805556,24.84153444,88,79,16.17805556,,,,,,,,,,,,,,,,,,,,
89,88,79,79,0.010539054,4527.417923,,,16.19472222,0,0,16.19472222,16.19472222,0,0,16.19472222,24.84238028,89,79,16.19472222,,,,,,,,,,,,,,,,,,,,
